X,Y,timeperiod,timeperi_1,n
21.377,43.6787,L,late-antique,Maskare
23.3451,43.5122,RL,"roman,late-antique",Marchevo
21.4697,44.1005,RL,"roman,late-antique",Manasija
19.6142,45.2119,RL,"roman,late-antique",Malata
22.3336,44.0522,RL,"roman,late-antique",Mala Jasikova
22.66,43.7686,RL,"roman,late-antique",Makresh
23.1112,45.6425,R,roman,Luncani-Tîrsa
21.8278,43.8001,RL,"roman,late-antique",Lukovo
23.5224,43.3226,RL,"roman,late-antique",Liljache
21.9453,42.9967,L,late-antique,Leskovac
21.3343,44.8134,RL,"roman,late-antique",Lederata
23.1817,47.1134,R,roman,Largiana
21.6124,44.2479,RL,"roman,late-antique",Krepoljin
19.9862,44.1546,L,late-antique,Krčmar
22.5699,43.574,RL,"roman,late-antique",Krachimir
20.9833,44.7499,L,late-antique,Kovin
22.2746,43.9125,RL,"roman,late-antique",Kostol
23.0297,44.0733,RL,"roman,late-antique",Koshava
21.6258,43.5431,RL,"roman,late-antique",Korman
22.7191,44.5307,RL,"roman,late-antique",Korbovo
21.8543,43.206,RL,"roman,late-antique",Klisura
23.1132,45.6001,R,roman,Jigorul Mare
21.5204,44.0272,RL,"roman,late-antique",Jezero
22.9202,44.0741,RL,"roman,late-antique",Jasen
22.495,44.4543,R,roman,Izvorul Frumos
22.6609,44.3097,R,roman,Izvoarele
24.0704,47.2303,R,roman,Ilişua
23.4799,46.1454,R,roman,Ighiu
21.9125,43.3574,RL,"roman,late-antique",Hum
22.7773,44.5381,RL,"roman,late-antique",Hinova
19.6698,47.668,L,late-antique,Hatvan
22.2802,44.6001,RL,"roman,late-antique",Hajdučka Vodenica
21.2328,44.8978,R,roman,Grebenac
22.07,42.9017,L,late-antique,Grdelica
23.4808,43.4862,RL,"roman,late-antique",Gradeshnitsa
22.1958,44.4498,RL,"roman,late-antique",Gradac
21.2129,42.8952,L,late-antique,Grad
22.9665,43.3019,RL,"roman,late-antique",Govezhda
19.5917,44.1465,RL,"roman,late-antique",Gornje Košlje
22.3669,43.4883,RL,"roman,late-antique",Gornja Kamenica
22.7451,43.4835,RL,"roman,late-antique",Gorni Lom
21.8552,44.6806,RL,"roman,late-antique",Gornea
22.9679,44.0913,RL,"roman,late-antique",Gomotartsi
19.837,44.0294,RL,"roman,late-antique",Godljevo
19.5489,44.89,RL,"roman,late-antique",Glušci
22.8736,43.551,RL,"roman,late-antique",Gjurgich
23.3918,46.7541,R,roman,Gilău
23.8999,47.0198,R,roman,Gherla
22.25,44.4635,RL,"roman,late-antique",‘Gerulatis’
23.1644,45.8971,R,roman,Germisara
23.0309,43.3857,RL,"roman,late-antique",Georgi Damjanovo
23.0584,43.3975,RL,"roman,late-antique",Gavril Genovo
23.1061,43.3288,RL,"roman,late-antique",Gaganitsa
20.8754,45.497,R,roman,Foeni
23.287,43.4813,RL,"roman,late-antique",Erden
22.4453,44.4691,RL,"roman,late-antique",Egeta
21.6398,44.6003,RL,"roman,late-antique",Dvorište
22.6688,42.7016,RL,"roman,late-antique",Dushinci
21.2751,44.9271,R,roman,Dupljaja
22.0225,43.2388,RL,"roman,late-antique",Draškova kutina
22.7362,44.1927,RL,"roman,late-antique",Dorticum
23.3493,43.2392,RL,"roman,late-antique",Dolno Ozirovo
23.3258,43.8431,RL,"roman,late-antique",Dolno Linevo
21.9095,44.632,L,late-antique,Dobra
21.5394,43.6056,L,late-antique,Djunis
19.1131,44.3652,L,late-antique,Divić
22.5569,44.6408,RL,"roman,late-antique",*Diana
19.9028,44.6226,L,late-antique,Debrc
21.9555,44.8653,R,roman,Dalboşeţ
19.8622,45.2522,RL,"roman,late-antique",Cusum
21.6383,44.6511,RL,"roman,late-antique",Cuppae
19.3758,45.224,RL,"roman,late-antique",Cuccium
22.3146,42.8753,RL,"roman,late-antique",Crna Trava
23.166,45.7065,HR,"hellenistic-republican,roman",Costeşti
19.1632,47.683,L,late-antique,Contra Constantiam
23.379,45.6182,R,roman,Comărnicel
23.2023,47.1469,R,roman,Certiae
21.5855,45.267,R,roman,Centum Putea
20.5858,46.1381,R,roman,Cenad
-3.0487,52.8718,ACHR,"archaic,classical,hellenistic-republican,roman",Old Oswestry
-6.2213,39.9486,R,roman,Las Brujas
-8.5845,39.2599,H,hellenistic-republican,Alto do Castelo
-1.2667,47.3362,L,late-antique,*Sella
1.3887,44.496,L,late-antique,Mercurius
0.5546,47.3838,L,late-antique,*Malliacum
-0.6614,45.1291,RL,"roman,late-antique",Blauto/Blavia
16.3739,48.2113,RLM,"roman,late-antique,modern",Vindobona
16.8433,48.41,RL,"roman,late-antique",Stillfried
16.8678,48.1133,RLM,"roman,late-antique,modern",Petronell
16.3735,48.559,HRL,"hellenistic-republican,roman,late-antique",Oberleiserberg
16.579,48.9056,R,roman,Mušov-Burgstall
16.1679,48.2455,R,roman,Mauerbach
16.325,48.305,RL,"roman,late-antique",Klosterneuburg
17.1497,48.056,RL,"roman,late-antique",Gerulata
16.052,48.331,RL,"roman,late-antique",Comagena
16.8679,48.1133,RL,"roman,late-antique",Carnuntum
16.6167,48.1167,RL,"roman,late-antique",Aequinoctium
7.9483,48.4239,R,roman,Zunsweier
11.4064,48.7128,R,roman,Zuchering
9.6422,48.8714,R,roman,Welzheim
11.2639,48.8839,R,roman,Vetoniana
9.1774,49.7753,R,roman,Trennfurt
10.8264,48.6463,RRL,"roman,roman-early-empire-late-antique,late-antique",Summuntorium
8.6318,48.3624,R,roman,Sulz
12.8376,48.8272,R,roman,Steinkirchen
12.5964,48.8868,RL,"roman,late-antique",Sorviodurum
8.9755,50.0434,R,roman,Seligenstadt
9.7769,48.7867,R,roman,Schirenhof
10.4805,49.0464,R,roman,Ruffenhofen
12.0982,49.0195,RLM,"roman,late-antique,modern",Reginum/Castra Regina
11.0035,48.3387,RL,"roman,late-antique",Rederzhausen
36.9394,33.0554,R,roman,Khirbet el-Umbashi
36.8719,33.6708,RL,"roman,late-antique",Khan esh-Shamat
36.8752,33.9414,R,roman,Khan el-Jennajil
36.9898,34.0334,R,roman,Khan el-Abyad
36.4719,33.6382,RL,"roman,late-antique",Khan Aiyash
37.329,33.3059,R,roman,Jebel Seis
36.5231,33.355,R,roman,el-Hijan
35.3976,32.5652,RL,"roman,late-antique",Giv'at Qumi
36.86,32.8053,RL,"roman,late-antique",Diyatheh
36.739,33.4091,R,roman,Deir Jenube
36.6042,32.9867,R,roman,Deir esh-Shair
36.6223,32.3495,R,roman,Deir el-Meyas
35.8151,33.7975,H,hellenistic-republican,Brochoi
36.7756,33.2926,R,roman,Bir Qesab
38.0821,34.3855,RL,"roman,late-antique",Veriaraca
35.812,34.449,E1CHHRRRTLLCMASMCCIOTE1OLKOM,"egyptian-hittite-levant,1200-bc-middle-east,classical,hellenistic-middle-east,hellenistic-republican,roman-middle-east,roman-early-empire-parthian-middle-east,roman,transition-roman-early-empire-late-antique,late-antique,late-antique-sasanian-middle-east",Tripolis
38.813,35.8017,L,late-antique,Tetrapyrgium
38.1308,34.7499,R,roman,Tahun el-Masek
37.2213,35.1943,RL,"roman,late-antique",Sabboura
37.9837,34.961,R,roman,Rasm es-Shaar
38.9111,35.0744,RL,"roman,late-antique",Oriza/Oruba/Oresa
37.932,35.3825,RL,"roman,late-antique",Khirbet el-Beida
38.9571,35.2707,RL,"roman,late-antique",Juwal
37.6205,34.4111,RL,"roman,late-antique",Heliaramia
38.733,34.7787,RL,"roman,late-antique",Helela
37.6658,34.298,R,roman,Harbaqa
38.3105,34.1828,R,roman,el-Mleke
38.5547,35.9261,RL,"roman,late-antique",Dausara
37.8321,34.267,RL,"roman,late-antique",Cunna?
38.8054,35.5038,RL,"roman,late-antique",Cholle
38.1368,34.7818,R,roman,Bir Weshel
35.8594,34.8584,2CHRLCM,"2nd-millenium-bce,classical,hellenistic-republican,roman,late-antique,crusader-seljuq-ayyubid-levant,modern",Arados
37.6512,35.6847,RL,"roman,late-antique",Ammattha
37.6075,34.1891,R,roman,al-Basiri
38.8829,34.9009,RL,"roman,late-antique",Adada?
5.0103,52.1066,R,roman,Vleuten-De Meern
4.6675,52.454,R,roman,Velsen
5.1216,52.0907,RLM,"roman,late-antique,modern",Traiectum
4.4336,52.18,RLM,"roman,late-antique,modern",Praetorium Agrippinae
4.7272,52.1058,RM,"roman,modern",Nigrum Pullum
4.5184,52.1503,R,roman,Matilo
4.393,52.212,R,roman,Lugdunum
5.9875,51.9208,R,roman,Loo-Loowaard
5.3528,51.9625,R,roman,Levefanum?
4.8827,52.0857,R,roman,Laurum
5.9414,51.9374,RL,"roman,late-antique",Huissen-Hazebergh
6.1283,51.8133,RL,"roman,late-antique",Harenatium
5.3508,51.7998,RL,"roman,late-antique",Grinnes
5.1642,52.0585,R,roman,Fectio
5.6279,52.3007,R,roman,Ermelo
5.8144,51.961,R,roman,Driel-Baarskamp
5.8736,51.9708,RL,"roman,late-antique",Castra Herculis?
5.5625,51.9297,R,roman,Carvo?
6.0875,51.8686,R,roman,Carvium
8.4729,52.0139,R,roman,Bielefeld
7.3912,53.2463,R,roman,Bentumersiel
4.658,52.1284,R,roman,Albaniana
54.4232,37.1062,HRL,"hellenistic-republican,roman,late-antique",Sadd-i Eskandar/Sadd-i Anushirvan/Qizil Alan
54.0697,36.7333,RL,"roman,late-antique",Kharabshahr/[Tamis]?/[Tammisha]?
-5.6337,50.1487,IRL,"iron-age-britain,roman,late-antique",Chûn Castle
53.1727,30.1914,CAHR,"classical,achaemenid-middle-east,hellenistic-republican,roman",Pasargadae/Batrakatash
51.499,30.063,RL,"roman,late-antique",Nurabad
-3.2095,51.8898,R,roman,Pen-y-Gaer Roman fort
40.2175,37.3914,RL,"roman,late-antique",Siphrios
41.5324,38.0356,L,late-antique,Shukaraba
40.8897,37.5379,L,late-antique,Sauras
39.5979,40.0278,RL,"roman,late-antique",Satala
41.0718,37.1225,L,late-antique,Sargathon
41.628,37.1316,L,late-antique,Sarbane/Sisara
40.5584,38.4682,L,late-antique,Saphchai
41.9819,37.2642,RL,"roman,late-antique",Sapha/Thilsaphata?
41.1455,38.0854,L,late-antique,*Samocharta
41.4131,37.7142,L,late-antique,(Ris)Kepha(s)
41.6091,37.2221,L,late-antique,Rhabdion
40.5474,38.3653,L,late-antique,Pheison
39.8994,39.0067,L,late-antique,Palios
41.7898,37.3511,L,late-antique,Mindon
39.1442,38.1611,RL,"roman,late-antique",Metita
39.6237,39.0067,L,late-antique,Mertikerton
40.9576,37.4162,L,late-antique,Matzaron
40.7351,37.3122,1RRTLLPCEAMECCIMOTE1POLOM,"1200-bc-middle-east,roman-middle-east,roman,transition-roman-early-empire-late-antique,late-antique,late-antique-sasanian-middle-east,persian-medieval-caucasus,caliphate-umayyad-middle-east,early-byzantine,abassid-middle-east,middle-byzantine,early-medie",Marde/Margdis
40.5007,37.3312,RL,"roman,late-antique",Mambouta/Mambrathon
40.6414,38.8391,L,late-antique,Kitharizon
39.1179,38.2676,RL,"roman,late-antique",Kerefto
40.9093,37.6425,L,late-antique,Idriphthon
39.099,38.3362,L,late-antique,Hüşükani
